Crop,Area Kharif,Area Rabi,Area Total,Production Kharif,Production Rabi,Production Total,Yeild Kharif,Yeild Rabi,Yeild Total
Ground nut,0.27,1.40,1.67,0.52,2.90,3.42,1934,2068,2047
Castor,0.44,0.01,0.45,0.26,N,0.26,590,584,590
Seasamum,0.03,0.18,0.21,0.01,0.14,0.15,134,803,699
Soyabean,2.77,N,2.77,3.22,N,3.22,1166,975,1166
Sunflower,0.01,0.05,0.06,0.01,0.09,0.10,755,1974,1627
Rapeseed & Mustard,0,0.03,0.03,0,0.05,0.05,0,1638,1638
Linseed,0,N,N,0,N,N,0,290,290
Safflower,N,0.04,0.04,N,0.03,0.03,1017,663,663
Total oil seeds,3.52,1.71,5.23,4.02,3.21,7.23,1141,1882,1383
