year,season,district_name,mandal_name,crop,normal_area,actual_name
2016-2017,Rabi,Adilabad,Ichoda,Total Non food crops,13,0
2016-2017,Rabi,Adilabad,Srikonda,Total Non food crops,0,0
2016-2017,Rabi,Adilabad,Gudihathnoor,Total Non food crops,27,0
2016-2017,Rabi,Adilabad,Utnoor,Total Non food crops,6,0
2016-2017,Rabi,Adilabad,Inderavelly,Total Non food crops,0,0
2016-2017,Rabi,Adilabad,Narnoor,Total Non food crops,0,0
2016-2017,Rabi,Adilabad,Gadiguda,Total Non food crops,0,0
2016-2017,Rabi,Adilabad,Boath,Total Non food crops,88,0
2016-2017,Rabi,Adilabad,Bazarhatnoor,Total Non food crops,3,0
2016-2017,Rabi,Adilabad,Neradigonda,Total Non food crops,13,0
2016-2017,Rabi,Adilabad,Bheempur,Total Non food crops,0,0
2016-2017,Rabi,Adilabad,Tamsi,Total Non food crops,61,0
2016-2017,Rabi,Adilabad,Talamadugu,Total Non food crops,111,0
2016-2017,Rabi,Adilabad,Adilabad (Rural),Gross areas ,587,758
2016-2017,Rabi,Adilabad,Mavala,Gross areas ,0,139
2016-2017,Rabi,Adilabad,Adilabad (Urban),Gross areas ,0,20
2016-2017,Rabi,Adilabad,Jainath,Gross areas ,2818,4605
2016-2017,Rabi,Adilabad,Bela,Gross areas ,1584,2636
2016-2017,Rabi,Adilabad,Ichoda,Gross areas ,1418,836
2016-2017,Rabi,Adilabad,Srikonda,Gross areas ,0,400
2016-2017,Rabi,Adilabad,Gudihathnoor,Gross areas ,932,1014
2016-2017,Rabi,Adilabad,Utnoor,Gross areas ,1537,875
2016-2017,Rabi,Adilabad,Inderavelly,Gross areas ,842,1518
2016-2017,Rabi,Adilabad,Narnoor,Gross areas ,842,430
2016-2017,Rabi,Adilabad,Gadiguda,Gross areas ,0,398
2016-2017,Rabi,Adilabad,Boath,Gross areas ,2181,1951
2016-2017,Rabi,Adilabad,Bazarhatnoor,Gross areas ,1467,1689
2016-2017,Rabi,Adilabad,Neradigonda,Gross areas ,880,1408
2016-2017,Rabi,Adilabad,Bheempur,Gross areas ,0,691
2016-2017,Rabi,Adilabad,Tamsi,Gross areas ,934,691
2016-2017,Rabi,Adilabad,Talamadugu,Gross areas ,547,1046
