year,season,district_name,mandal_name,crop,normal_area,actual_name
2016-2017,Rabi,Adilabad,Narnoor,Green gram,1,0
2016-2017,Rabi,Adilabad,Gadiguda,Green gram,0,0
2016-2017,Rabi,Adilabad,Boath,Green gram,0,0
2016-2017,Rabi,Adilabad,Bazarhatnoor,Green gram,0,0
2016-2017,Rabi,Adilabad,Neradigonda,Green gram,0,0
2016-2017,Rabi,Adilabad,Bheempur,Green gram,0,3
2016-2017,Rabi,Adilabad,Tamsi,Green gram,5,0
2016-2017,Rabi,Adilabad,Talamadugu,Green gram,0,11
2016-2017,Rabi,Adilabad,Adilabad (Rural),Black gram,0,0
2016-2017,Rabi,Adilabad,Mavala,Black gram,0,0
2016-2017,Rabi,Adilabad,Adilabad (Urban),Black gram,0,0
2016-2017,Rabi,Adilabad,Jainath,Black gram,0,0
2016-2017,Rabi,Adilabad,Bela,Black gram,0,0
2016-2017,Rabi,Adilabad,Ichoda,Black gram,0,0
2016-2017,Rabi,Adilabad,Srikonda,Black gram,0,0
2016-2017,Rabi,Adilabad,Gudihathnoor,Black gram,0,0
2016-2017,Rabi,Adilabad,Utnoor,Black gram,0,0
2016-2017,Rabi,Adilabad,Inderavelly,Black gram,0,0
2016-2017,Rabi,Adilabad,Narnoor,Black gram,0,0
2016-2017,Rabi,Adilabad,Gadiguda,Black gram,0,0
2016-2017,Rabi,Adilabad,Boath,Black gram,0,0
2016-2017,Rabi,Adilabad,Bazarhatnoor,Black gram,0,0
2016-2017,Rabi,Adilabad,Neradigonda,Black gram,0,0
2016-2017,Rabi,Adilabad,Bheempur,Black gram,0,0
2016-2017,Rabi,Adilabad,Tamsi,Black gram,6,0
2016-2017,Rabi,Adilabad,Talamadugu,Black gram,0,0
2016-2017,Rabi,Adilabad,Adilabad (Rural),Redgram,0,0
2016-2017,Rabi,Adilabad,Mavala,Redgram,0,0
2016-2017,Rabi,Adilabad,Adilabad (Urban),Redgram,0,0
2016-2017,Rabi,Adilabad,Jainath,Redgram,0,0
2016-2017,Rabi,Adilabad,Bela,Redgram,0,0
2016-2017,Rabi,Adilabad,Ichoda,Redgram,0,0
2016-2017,Rabi,Adilabad,Srikonda,Redgram,0,0
2016-2017,Rabi,Adilabad,Gudihathnoor,Redgram,0,0
2016-2017,Rabi,Adilabad,Utnoor,Redgram,1,1
2016-2017,Rabi,Adilabad,Inderavelly,Redgram,0,0
2016-2017,Rabi,Adilabad,Narnoor,Redgram,0,0
2016-2017,Rabi,Adilabad,Gadiguda,Redgram,0,0
2016-2017,Rabi,Adilabad,Boath,Redgram,0,0
2016-2017,Rabi,Adilabad,Bazarhatnoor,Redgram,0,0
2016-2017,Rabi,Adilabad,Neradigonda,Redgram,0,0
2016-2017,Rabi,Adilabad,Bheempur,Redgram,0,0
2016-2017,Rabi,Adilabad,Tamsi,Redgram,0,0
2016-2017,Rabi,Adilabad,Talamadugu,Redgram,0,0
2016-2017,Rabi,Adilabad,Adilabad (Rural),Bengal gram,443,502
2016-2017,Rabi,Adilabad,Mavala,Bengal gram,0,11
2016-2017,Rabi,Adilabad,Adilabad (Urban),Bengal gram,0,6
2016-2017,Rabi,Adilabad,Jainath,Bengal gram,2307,4190
2016-2017,Rabi,Adilabad,Bela,Bengal gram,1269,2455
2016-2017,Rabi,Adilabad,Ichoda,Bengal gram,817,431
2016-2017,Rabi,Adilabad,Srikonda,Bengal gram,0,141
2016-2017,Rabi,Adilabad,Gudihathnoor,Bengal gram,429,691
2016-2017,Rabi,Adilabad,Utnoor,Bengal gram,389,300
2016-2017,Rabi,Adilabad,Inderavelly,Bengal gram,407,954
2016-2017,Rabi,Adilabad,Narnoor,Bengal gram,351,0
2016-2017,Rabi,Adilabad,Gadiguda,Bengal gram,0,157
2016-2017,Rabi,Adilabad,Boath,Bengal gram,1202,1293
2016-2017,Rabi,Adilabad,Bazarhatnoor,Bengal gram,1004,1238
2016-2017,Rabi,Adilabad,Neradigonda,Bengal gram,321,558
2016-2017,Rabi,Adilabad,Bheempur,Bengal gram,0,245
2016-2017,Rabi,Adilabad,Tamsi,Bengal gram,403,225
2016-2017,Rabi,Adilabad,Talamadugu,Bengal gram,73,212
2016-2017,Rabi,Adilabad,Adilabad (Rural),Cow gram,0,0
2016-2017,Rabi,Adilabad,Mavala,Cow gram,0,0
2016-2017,Rabi,Adilabad,Adilabad (Urban),Cow gram,0,0
2016-2017,Rabi,Adilabad,Jainath,Cow gram,0,0
2016-2017,Rabi,Adilabad,Bela,Cow gram,0,0
2016-2017,Rabi,Adilabad,Ichoda,Cow gram,0,0
2016-2017,Rabi,Adilabad,Srikonda,Cow gram,0,0
2016-2017,Rabi,Adilabad,Gudihathnoor,Cow gram,0,0
2016-2017,Rabi,Adilabad,Utnoor,Cow gram,0,0
2016-2017,Rabi,Adilabad,Inderavelly,Cow gram,0,0
2016-2017,Rabi,Adilabad,Narnoor,Cow gram,0,0
2016-2017,Rabi,Adilabad,Gadiguda,Cow gram,0,0
2016-2017,Rabi,Adilabad,Boath,Cow gram,0,0
2016-2017,Rabi,Adilabad,Bazarhatnoor,Cow gram,0,0
2016-2017,Rabi,Adilabad,Neradigonda,Cow gram,0,0
2016-2017,Rabi,Adilabad,Bheempur,Cow gram,0,0
2016-2017,Rabi,Adilabad,Tamsi,Cow gram,0,0
2016-2017,Rabi,Adilabad,Talamadugu,Cow gram,1,6
2016-2017,Rabi,Adilabad,Adilabad (Rural),Chillies,9,2
2016-2017,Rabi,Adilabad,Mavala,Chillies,0,0
2016-2017,Rabi,Adilabad,Adilabad (Urban),Chillies,0,0
2016-2017,Rabi,Adilabad,Jainath,Chillies,0,0
2016-2017,Rabi,Adilabad,Bela,Chillies,4,4
2016-2017,Rabi,Adilabad,Ichoda,Chillies,0,0
2016-2017,Rabi,Adilabad,Srikonda,Chillies,0,2
2016-2017,Rabi,Adilabad,Gudihathnoor,Chillies,5,0
2016-2017,Rabi,Adilabad,Utnoor,Chillies,1,2
2016-2017,Rabi,Adilabad,Inderavelly,Chillies,0,3
2016-2017,Rabi,Adilabad,Narnoor,Chillies,0,0
2016-2017,Rabi,Adilabad,Gadiguda,Chillies,0,7
2016-2017,Rabi,Adilabad,Boath,Chillies,0,4
2016-2017,Rabi,Adilabad,Bazarhatnoor,Chillies,0,0
2016-2017,Rabi,Adilabad,Neradigonda,Chillies,0,7
2016-2017,Rabi,Adilabad,Bheempur,Chillies,0,0
2016-2017,Rabi,Adilabad,Tamsi,Chillies,0,0
2016-2017,Rabi,Adilabad,Talamadugu,Chillies,1,3
2016-2017,Rabi,Adilabad,Adilabad (Rural),Coriander,0,0
2016-2017,Rabi,Adilabad,Mavala,Coriander,0,0
2016-2017,Rabi,Adilabad,Adilabad (Urban),Coriander,0,0
2016-2017,Rabi,Adilabad,Jainath,Coriander,0,0
2016-2017,Rabi,Adilabad,Bela,Coriander,0,0
2016-2017,Rabi,Adilabad,Ichoda,Coriander,0,0
2016-2017,Rabi,Adilabad,Srikonda,Coriander,0,0
2016-2017,Rabi,Adilabad,Gudihathnoor,Coriander,0,0
2016-2017,Rabi,Adilabad,Utnoor,Coriander,0,0
2016-2017,Rabi,Adilabad,Inderavelly,Coriander,0,0
2016-2017,Rabi,Adilabad,Narnoor,Coriander,0,0
2016-2017,Rabi,Adilabad,Gadiguda,Coriander,0,0
2016-2017,Rabi,Adilabad,Boath,Coriander,54,113
2016-2017,Rabi,Adilabad,Bazarhatnoor,Coriander,28,66
2016-2017,Rabi,Adilabad,Neradigonda,Coriander,32,65
2016-2017,Rabi,Adilabad,Bheempur,Coriander,0,0
2016-2017,Rabi,Adilabad,Tamsi,Coriander,0,0
2016-2017,Rabi,Adilabad,Talamadugu,Coriander,0,0
2016-2017,Rabi,Adilabad,Adilabad (Rural),Onions,0,0
2016-2017,Rabi,Adilabad,Mavala,Onions,0,0
2016-2017,Rabi,Adilabad,Adilabad (Urban),Onions,0,0
2016-2017,Rabi,Adilabad,Jainath,Onions,0,0
2016-2017,Rabi,Adilabad,Bela,Onions,0,0
2016-2017,Rabi,Adilabad,Ichoda,Onions,0,0
2016-2017,Rabi,Adilabad,Srikonda,Onions,0,10
2016-2017,Rabi,Adilabad,Gudihathnoor,Onions,0,3
2016-2017,Rabi,Adilabad,Utnoor,Onions,2,1
2016-2017,Rabi,Adilabad,Inderavelly,Onions,1,0
