year,season,district_name,mandal_name,crop,normal_area,actual_area
2016-2017,Kharif,Adilabad,Adilabad R,Rice,45,12
2016-2017,Kharif,Adilabad,Adilabad U,Rice,45,13
2016-2017,Kharif,Adilabad,Mavala,Rice,45,5
2016-2017,Kharif,Adilabad,Jainad,Rice,2,0
2016-2017,Kharif,Adilabad,Bela,Rice,0,3
2016-2017,Kharif,Adilabad,Ichoda,Rice,92,38
2016-2017,Kharif,Adilabad,Sirikonda,Rice,92,19
2016-2017,Kharif,Adilabad,Gudihathnoor,Rice,33,0
2016-2017,Kharif,Adilabad,Bheempur,Rice,14,0
2016-2017,Kharif,Adilabad,Tamsi,Rice,14,2
2016-2017,Kharif,Adilabad,Talamadugu,Rice,46,17
2016-2017,Kharif,Adilabad,Boath,Rice,23,6
2016-2017,Kharif,Adilabad,Bazarhathnoor,Rice,62,18
2016-2017,Kharif,Adilabad,Neradigonda,Rice,75,39
2016-2017,Kharif,Adilabad,Utnoor,Rice,577,677
2016-2017,Kharif,Adilabad,Inderavelly,Rice,143,67
2016-2017,Kharif,Adilabad,Narnoor,Rice,137,49
2016-2017,Kharif,Adilabad,Gadiguda,Rice,137,12
2016-2017,Kharif,Adilabad,Adilabad R,Jowar,1049,255
2016-2017,Kharif,Adilabad,Adilabad U,Jowar,0,0
2016-2017,Kharif,Adilabad,Mavala,Jowar,0,13
2016-2017,Kharif,Adilabad,Jainad,Jowar,771,10
2016-2017,Kharif,Adilabad,Bela,Jowar,954,322
2016-2017,Kharif,Adilabad,Ichoda,Jowar,989,311
2016-2017,Kharif,Adilabad,Sirikonda,Jowar,0,482
2016-2017,Kharif,Adilabad,Gudihathnoor,Jowar,848,0
2016-2017,Kharif,Adilabad,Bheempur,Jowar,0,187
2016-2017,Kharif,Adilabad,Tamsi,Jowar,1226,152
2016-2017,Kharif,Adilabad,Talamadugu,Jowar,592,40
2016-2017,Kharif,Adilabad,Boath,Jowar,309,48
2016-2017,Kharif,Adilabad,Bazarhathnoor,Jowar,298,27
2016-2017,Kharif,Adilabad,Neradigonda,Jowar,229,60
2016-2017,Kharif,Adilabad,Utnoor,Jowar,1263,1472
2016-2017,Kharif,Adilabad,Inderavelly,Jowar,1682,1027
2016-2017,Kharif,Adilabad,Narnoor,Jowar,1336,323
2016-2017,Kharif,Adilabad,Gadiguda,Jowar,1336,211
2016-2017,Kharif,Adilabad,Adilabad R,Maize,16,0
2016-2017,Kharif,Adilabad,Adilabad U,Maize,0,0
2016-2017,Kharif,Adilabad,Mavala,Maize,0,0
2016-2017,Kharif,Adilabad,Jainad,Maize,0,0
2016-2017,Kharif,Adilabad,Bela,Maize,0,0
2016-2017,Kharif,Adilabad,Ichoda,Maize,14,25
2016-2017,Kharif,Adilabad,Sirikonda,Maize,0,21
2016-2017,Kharif,Adilabad,Gudihathnoor,Maize,22,0
2016-2017,Kharif,Adilabad,Bheempur,Maize,0,1
2016-2017,Kharif,Adilabad,Tamsi,Maize,2,2
2016-2017,Kharif,Adilabad,Talamadugu,Maize,10,20
2016-2017,Kharif,Adilabad,Boath,Maize,21,23
2016-2017,Kharif,Adilabad,Bazarhathnoor,Maize,82,36
2016-2017,Kharif,Adilabad,Neradigonda,Maize,8,40
2016-2017,Kharif,Adilabad,Utnoor,Maize,138,230
2016-2017,Kharif,Adilabad,Inderavelly,Maize,41,52
2016-2017,Kharif,Adilabad,Narnoor,Maize,144,62
2016-2017,Kharif,Adilabad,Gadiguda,Maize,144,28
2016-2017,Kharif,Adilabad,Adilabad R,Green Gram,99,121
2016-2017,Kharif,Adilabad,Adilabad U,Green Gram,0,0
2016-2017,Kharif,Adilabad,Mavala,Green Gram,0,18
2016-2017,Kharif,Adilabad,Jainad,Green Gram,2,16
2016-2017,Kharif,Adilabad,Bela,Green Gram,8,108
2016-2017,Kharif,Adilabad,Ichoda,Green Gram,123,103
2016-2017,Kharif,Adilabad,Sirikonda,Green Gram,0,102
2016-2017,Kharif,Adilabad,Gudihathnoor,Green Gram,52,175
2016-2017,Kharif,Adilabad,Bheempur,Green Gram,0,166
2016-2017,Kharif,Adilabad,Tamsi,Green Gram,94,83
2016-2017,Kharif,Adilabad,Talamadugu,Green Gram,45,113
2016-2017,Kharif,Adilabad,Boath,Green Gram,96,119
2016-2017,Kharif,Adilabad,Bazarhathnoor,Green Gram,73,14
2016-2017,Kharif,Adilabad,Neradigonda,Green Gram,109,200
2016-2017,Kharif,Adilabad,Utnoor,Green Gram,312,370
2016-2017,Kharif,Adilabad,Inderavelly,Green Gram,219,209
2016-2017,Kharif,Adilabad,Narnoor,Green Gram,265,276
2016-2017,Kharif,Adilabad,Gadiguda,Green Gram,265,74
2016-2017,Kharif,Adilabad,Adilabad R,Black Gram,114,38
2016-2017,Kharif,Adilabad,Adilabad U,Black Gram,0,0
2016-2017,Kharif,Adilabad,Mavala,Black Gram,0,15
2016-2017,Kharif,Adilabad,Jainad,Black Gram,19,60
2016-2017,Kharif,Adilabad,Bela,Black Gram,6,124
2016-2017,Kharif,Adilabad,Ichoda,Black Gram,161,114
2016-2017,Kharif,Adilabad,Sirikonda,Black Gram,0,85
2016-2017,Kharif,Adilabad,Gudihathnoor,Black Gram,56,572
2016-2017,Kharif,Adilabad,Bheempur,Black Gram,0,245
