year,season,district_name,mandal_name,crop,normal_area,actual_area
2017-2018,Kharif,Adilabad,Adilabad R,Tabacco,0,0
2017-2018,Kharif,Adilabad,Mavala,Tabacco,0,0
2017-2018,Kharif,Adilabad,Adilabad U,Tabacco,0,0
2017-2018,Kharif,Adilabad,Jainath,Tabacco,0,0
2017-2018,Kharif,Adilabad,Bela,Tabacco,0,0
2017-2018,Kharif,Adilabad,Ichoda,Tabacco,0,0
2017-2018,Kharif,Adilabad,Srikonda,Tabacco,0,0
2017-2018,Kharif,Adilabad,Gudihathnoor,Tabacco,0,0
2017-2018,Kharif,Adilabad,Utnoor,Tabacco,0,0
2017-2018,Kharif,Adilabad,Inderavelly,Tabacco,0,0
2017-2018,Kharif,Adilabad,Narnoor,Tabacco,0,0
2017-2018,Kharif,Adilabad,Gadiguda,Tabacco,0,0
2017-2018,Kharif,Adilabad,Boath,Tabacco,0,0
2017-2018,Kharif,Adilabad,Bazarhatnoor,Tabacco,0,0
2017-2018,Kharif,Adilabad,Neradigonda,Tabacco,0,0
2017-2018,Kharif,Adilabad,Bheempur,Tabacco,0,0
2017-2018,Kharif,Adilabad,Tamsi,Tabacco,0,0
2017-2018,Kharif,Adilabad,Talamadugu,Tabacco,0,0
2017-2018,Kharif,Adilabad,Adilabad R,Other Non-Food Crops,0,0
2017-2018,Kharif,Adilabad,Mavala,Other Non-Food Crops,0,7
2017-2018,Kharif,Adilabad,Adilabad U,Other Non-Food Crops,0,7
2017-2018,Kharif,Adilabad,Jainath,Other Non-Food Crops,2,0
2017-2018,Kharif,Adilabad,Bela,Other Non-Food Crops,0,0
2017-2018,Kharif,Adilabad,Ichoda,Other Non-Food Crops,0,1
2017-2018,Kharif,Adilabad,Srikonda,Other Non-Food Crops,0,0
2017-2018,Kharif,Adilabad,Gudihathnoor,Other Non-Food Crops,0,3
2017-2018,Kharif,Adilabad,Utnoor,Other Non-Food Crops,0,16
2017-2018,Kharif,Adilabad,Inderavelly,Other Non-Food Crops,1,11
2017-2018,Kharif,Adilabad,Narnoor,Other Non-Food Crops,0,4
2017-2018,Kharif,Adilabad,Gadiguda,Other Non-Food Crops,0,0
2017-2018,Kharif,Adilabad,Boath,Other Non-Food Crops,0,0
2017-2018,Kharif,Adilabad,Bazarhatnoor,Other Non-Food Crops,0,0
2017-2018,Kharif,Adilabad,Neradigonda,Other Non-Food Crops,0,0
2017-2018,Kharif,Adilabad,Bheempur,Other Non-Food Crops,0,0
2017-2018,Kharif,Adilabad,Tamsi,Other Non-Food Crops,0,8
2017-2018,Kharif,Adilabad,Talamadugu,Other Non-Food Crops,0,12
2017-2018,Kharif,Adilabad,Adilabad R,Gross areas ,15696,13977
2017-2018,Kharif,Adilabad,Mavala,Gross areas ,229,771
2017-2018,Kharif,Adilabad,Adilabad U,Gross areas ,22,193
2017-2018,Kharif,Adilabad,Jainath,Gross areas ,20020,23035
2017-2018,Kharif,Adilabad,Bela,Gross areas ,15876,16187
2017-2018,Kharif,Adilabad,Ichoda,Gross areas ,14270,10381
2017-2018,Kharif,Adilabad,Srikonda,Gross areas ,1007,4534
2017-2018,Kharif,Adilabad,Gudihathnoor,Gross areas ,10397,5939
2017-2018,Kharif,Adilabad,Utnoor,Gross areas ,15737,14727
2017-2018,Kharif,Adilabad,Inderavelly,Gross areas ,16308,13966
2017-2018,Kharif,Adilabad,Narnoor,Gross areas ,16401,11087
2017-2018,Kharif,Adilabad,Gadiguda,Gross areas ,1181,5519
2017-2018,Kharif,Adilabad,Boath,Gross areas ,15196,13602
2017-2018,Kharif,Adilabad,Bazarhatnoor,Gross areas ,12089,11743
2017-2018,Kharif,Adilabad,Neradigonda,Gross areas ,9957,9612
2017-2018,Kharif,Adilabad,Bheempur,Gross areas ,2198,11732
2017-2018,Kharif,Adilabad,Tamsi,Gross areas ,15890,6543
2017-2018,Kharif,Adilabad,Talamadugu,Gross areas ,14313,13810
