year,season,district_name,mandal_name,crop,normal_area,actual_area
2017-2018,Kharif,Adilabad,Ichoda,Green gram,110,83
2017-2018,Kharif,Adilabad,Srikonda,Green gram,20,30
2017-2018,Kharif,Adilabad,Gudihathnoor,Green gram,58,47
2017-2018,Kharif,Adilabad,Utnoor,Green gram,308,124
2017-2018,Kharif,Adilabad,Inderavelly,Green gram,221,340
2017-2018,Kharif,Adilabad,Narnoor,Green gram,298,105
2017-2018,Kharif,Adilabad,Gadiguda,Green gram,94,412
2017-2018,Kharif,Adilabad,Boath,Green gram,90,146
2017-2018,Kharif,Adilabad,Bazarhatnoor,Green gram,50,8
2017-2018,Kharif,Adilabad,Neradigonda,Green gram,122,40
2017-2018,Kharif,Adilabad,Bheempur,Green gram,33,50
2017-2018,Kharif,Adilabad,Tamsi,Green gram,79,34
2017-2018,Kharif,Adilabad,Talamadugu,Green gram,50,24
2017-2018,Kharif,Adilabad,Adilabad R,Black gram,79,20
2017-2018,Kharif,Adilabad,Mavala,Black gram,3,0
2017-2018,Kharif,Adilabad,Adilabad U,Black gram,0,0
2017-2018,Kharif,Adilabad,Jainath,Black gram,31,10
2017-2018,Kharif,Adilabad,Bela,Black gram,29,35
2017-2018,Kharif,Adilabad,Ichoda,Black gram,143,89
2017-2018,Kharif,Adilabad,Srikonda,Black gram,17,32
2017-2018,Kharif,Adilabad,Gudihathnoor,Black gram,68,63
2017-2018,Kharif,Adilabad,Utnoor,Black gram,636,175
2017-2018,Kharif,Adilabad,Inderavelly,Black gram,209,339
2017-2018,Kharif,Adilabad,Narnoor,Black gram,427,117
2017-2018,Kharif,Adilabad,Gadiguda,Black gram,118,492
2017-2018,Kharif,Adilabad,Boath,Black gram,176,136
2017-2018,Kharif,Adilabad,Bazarhatnoor,Black gram,142,15
2017-2018,Kharif,Adilabad,Neradigonda,Black gram,141,72
2017-2018,Kharif,Adilabad,Bheempur,Black gram,49,75
2017-2018,Kharif,Adilabad,Tamsi,Black gram,79,18
2017-2018,Kharif,Adilabad,Talamadugu,Black gram,59,28
2017-2018,Kharif,Adilabad,Adilabad R,Red gram,2285,2872
2017-2018,Kharif,Adilabad,Mavala,Red gram,27,140
2017-2018,Kharif,Adilabad,Adilabad U,Red gram,6,26
2017-2018,Kharif,Adilabad,Jainath,Red gram,298,2369
2017-2018,Kharif,Adilabad,Bela,Red gram,1541,1600
2017-2018,Kharif,Adilabad,Ichoda,Red gram,1110,1381
2017-2018,Kharif,Adilabad,Srikonda,Red gram,121,655
2017-2018,Kharif,Adilabad,Gudihathnoor,Red gram,613,899
2017-2018,Kharif,Adilabad,Utnoor,Red gram,1433,1959
2017-2018,Kharif,Adilabad,Inderavelly,Red gram,953,1464
2017-2018,Kharif,Adilabad,Narnoor,Red gram,1006,1241
2017-2018,Kharif,Adilabad,Gadiguda,Red gram,51,596
2017-2018,Kharif,Adilabad,Boath,Red gram,815,1113
2017-2018,Kharif,Adilabad,Bazarhatnoor,Red gram,1155,1354
2017-2018,Kharif,Adilabad,Neradigonda,Red gram,773,909
2017-2018,Kharif,Adilabad,Bheempur,Red gram,298,1776
2017-2018,Kharif,Adilabad,Tamsi,Red gram,1490,797
2017-2018,Kharif,Adilabad,Talamadugu,Red gram,1097,1131
2017-2018,Kharif,Adilabad,Adilabad R,Cow gram,0,0
2017-2018,Kharif,Adilabad,Mavala,Cow gram,0,0
2017-2018,Kharif,Adilabad,Adilabad U,Cow gram,0,0
2017-2018,Kharif,Adilabad,Jainath,Cow gram,0,0
2017-2018,Kharif,Adilabad,Bela,Cow gram,0,0
2017-2018,Kharif,Adilabad,Ichoda,Cow gram,0,0
2017-2018,Kharif,Adilabad,Srikonda,Cow gram,0,0
2017-2018,Kharif,Adilabad,Gudihathnoor,Cow gram,0,0
2017-2018,Kharif,Adilabad,Utnoor,Cow gram,0,3
2017-2018,Kharif,Adilabad,Inderavelly,Cow gram,3,6
2017-2018,Kharif,Adilabad,Narnoor,Cow gram,6,10
2017-2018,Kharif,Adilabad,Gadiguda,Cow gram,4,19
2017-2018,Kharif,Adilabad,Boath,Cow gram,1,4
2017-2018,Kharif,Adilabad,Bazarhatnoor,Cow gram,0,0
2017-2018,Kharif,Adilabad,Neradigonda,Cow gram,0,0
2017-2018,Kharif,Adilabad,Bheempur,Cow gram,0,4
2017-2018,Kharif,Adilabad,Tamsi,Cow gram,0,2
2017-2018,Kharif,Adilabad,Talamadugu,Cow gram,8,13
2017-2018,Kharif,Adilabad,Adilabad R,Chillies,0,1
2017-2018,Kharif,Adilabad,Mavala,Chillies,1,0
2017-2018,Kharif,Adilabad,Adilabad U,Chillies,0,0
2017-2018,Kharif,Adilabad,Jainath,Chillies,18,6
2017-2018,Kharif,Adilabad,Bela,Chillies,39,6
2017-2018,Kharif,Adilabad,Ichoda,Chillies,71,0
2017-2018,Kharif,Adilabad,Srikonda,Chillies,2,4
2017-2018,Kharif,Adilabad,Gudihathnoor,Chillies,0,0
2017-2018,Kharif,Adilabad,Utnoor,Chillies,0,0
2017-2018,Kharif,Adilabad,Inderavelly,Chillies,17,0
2017-2018,Kharif,Adilabad,Narnoor,Chillies,22,0
2017-2018,Kharif,Adilabad,Gadiguda,Chillies,8,18
2017-2018,Kharif,Adilabad,Boath,Chillies,17,6
2017-2018,Kharif,Adilabad,Bazarhatnoor,Chillies,2,8
2017-2018,Kharif,Adilabad,Neradigonda,Chillies,22,0
2017-2018,Kharif,Adilabad,Bheempur,Chillies,0,11
2017-2018,Kharif,Adilabad,Tamsi,Chillies,5,2
2017-2018,Kharif,Adilabad,Talamadugu,Chillies,12,0
2017-2018,Kharif,Adilabad,Adilabad R,Turmeric,3,8
2017-2018,Kharif,Adilabad,Mavala,Turmeric,0,0
2017-2018,Kharif,Adilabad,Adilabad U,Turmeric,0,1
2017-2018,Kharif,Adilabad,Jainath,Turmeric,4,19
2017-2018,Kharif,Adilabad,Bela,Turmeric,1,5
2017-2018,Kharif,Adilabad,Ichoda,Turmeric,4,16
2017-2018,Kharif,Adilabad,Srikonda,Turmeric,0,1
2017-2018,Kharif,Adilabad,Gudihathnoor,Turmeric,1,2
2017-2018,Kharif,Adilabad,Utnoor,Turmeric,0,1
2017-2018,Kharif,Adilabad,Inderavelly,Turmeric,0,3
2017-2018,Kharif,Adilabad,Narnoor,Turmeric,0,0
2017-2018,Kharif,Adilabad,Gadiguda,Turmeric,0,0
2017-2018,Kharif,Adilabad,Boath,Turmeric,7,11
2017-2018,Kharif,Adilabad,Bazarhatnoor,Turmeric,1,4
2017-2018,Kharif,Adilabad,Neradigonda,Turmeric,10,8
2017-2018,Kharif,Adilabad,Bheempur,Turmeric,8,45
2017-2018,Kharif,Adilabad,Tamsi,Turmeric,7,15
2017-2018,Kharif,Adilabad,Talamadugu,Turmeric,4,19
2017-2018,Kharif,Adilabad,Adilabad R,Sugarcane,0,0
2017-2018,Kharif,Adilabad,Mavala,Sugarcane,0,0
2017-2018,Kharif,Adilabad,Adilabad U,Sugarcane,0,0
2017-2018,Kharif,Adilabad,Jainath,Sugarcane,0,0
2017-2018,Kharif,Adilabad,Bela,Sugarcane,0,0
2017-2018,Kharif,Adilabad,Ichoda,Sugarcane,0,1
